Designator,Footprint,Quantity,Value,LCSC Part #
J1,ASSMANN_A-2014-2-4-N-T-R,1,A-2014-2-4-N-T-R,
SW1,SW_Cherry_MX_PCB_1.00u,1,SW_Push,
