Designator,Mid X,Mid Y,Rotation,Layer
D1,118.11,-76.2,180.0,top
D2,110.49,-76.2,180.0,top
D3,168.91,-76.2,180.0,top
D4,161.29,-76.2,180.0,top
D5,128.905,-66.04,180.0,top
D6,150.495,-66.04,180.0,top
D7,128.905,-60.96,180.0,top
D8,150.495,-60.96,180.0,top
J1,139.7,-62.382,180.0,top
J2,114.3,-87.478,0.0,top
J3,139.7,-87.478,0.0,top
J4,165.1,-87.478,0.0,top
SW1,116.84,-58.795,0.0,top
SW2,162.56,-58.795,0.0,top
